Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40ccd1, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ccc3, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c02b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c02b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f148, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40baf7, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40baf7, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40baf0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bae6, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 60f340, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c8ae, ro: 2, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f348, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bd52, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f348, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bd3e, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f348, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bd27, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f348, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bd1a, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f340, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40baff, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 403cd0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40a280, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bf39, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf35, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c02b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c02c, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf41, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf29, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bf26, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40befa, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 60f368, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f368, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40be7b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f350, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f350, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f350, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f350, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f350, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 403cd0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40a130, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40a770, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f378, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bc65, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40b948, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40b974, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bee3, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 407000, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4072b0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 407000, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4072b0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 407000, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4072b0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 407000, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4072b0, ro: 0, rt: CODE
