Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 412daf, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414dda, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414db7, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
Deserializing functions...
Deserializing functions...
Deserializing functions...
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 4014e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 41401d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 41369b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 412701, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 41296b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40d8e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 412fe8, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 412968, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414639, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 412daf, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414028, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 41310b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414188, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 4014e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414d2d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 411e80, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 4126f2, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 411bc0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414644, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 411ef0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 41401d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414667, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
