Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 60e27c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40aca0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 400eb0, ro: 1, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4033a0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40ab10, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e278, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 409650, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e298, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e290, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40aca0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 400eb0, ro: 1, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4033a0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40ab10, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e278, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 409650, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40a5c0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e288, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 409650, ro: 0, rt: CODE
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40cb23, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 404b50, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 404b50, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40cb43, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c9d9, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60e2b0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60e3c0, ro: 2, rt: DATA
Deserializing functions...
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 60e268, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e270, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e28c, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bebb, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60e2b0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60e3c0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40beb6, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e3b0, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 60e098, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40befd, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 40ae60, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 404c60, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a4, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cc3f, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cc38, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a4, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cbec, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cc31, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cb6a, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a4, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cbdb, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cbd4, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a4, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cb95, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cbcd, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40aef0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40aef0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40aef0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e274, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cc5d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cb63, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e2ac, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 402cd0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403210, ro: 0, rt: CODE
